Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1919,9,1.892,,1.276,-0.062,-0.080,-1.437,,,,2.713,,,3.740,9.880,-1.827,0
1919,10,1.953,,1.248,-0.090,-0.093,-1.434,,,,2.682,,,3.640,9.890,-1.949,0
1919,11,2.288,,1.383,0.017,0.011,-1.358,,,,2.740,,,3.650,9.800,-1.949,0
1919,12,2.318,,1.248,-0.120,-0.108,-1.464,,,,2.713,,,3.530,9.740,-2.498,0
1920,1,1.892,,1.239,-0.129,-0.135,-1.510,,,,2.749,,,3.670,9.680,-2.193,0
1920,2,1.892,,1.248,-0.138,-0.145,-1.537,,,,2.786,,,3.520,9.810,-2.101,0
1920,3,1.953,,1.197,-0.212,-0.221,-1.638,,,,2.835,,,3.510,9.750,-2.223,0
1920,4,1.953,,1.361,-0.035,-0.040,-1.446,,,,2.807,,,3.590,9.710,-1.949,0
1920,5,1.953,,1.279,-0.105,-0.114,-1.510,,,,2.789,,,3.620,9.780,-2.162,0
1920,6,2.074,,1.325,-0.056,-0.065,-1.452,,,,2.777,,,3.620,9.800,-2.010,0
1920,7,1.953,,1.297,-0.080,-0.096,-1.489,,,,2.786,,,3.590,9.800,-2.101,0
1920,8,1.861,,1.276,-0.102,-0.108,-1.492,,,,2.768,,,3.670,9.780,-2.040,0
1920,9,1.861,,1.306,-0.074,-0.080,-1.467,,,,2.774,,,3.560,9.700,-1.736,0
1920,10,1.922,,1.349,-0.029,-0.038,-1.425,,,,2.774,,,3.600,9.750,-1.918,0
1920,11,2.044,,1.279,-0.087,-0.099,-1.476,,,,2.755,,,3.580,9.830,-2.040,0
1920,12,2.013,,1.334,-0.059,-0.077,-1.489,,,,2.822,,,3.540,9.870,-2.315,0
1921,1,,,1.304,-0.074,-0.099,-1.500,,,,2.804,,,3.560,9.880,,0
1921,2,1.983,,1.282,-0.111,-0.114,-1.510,,,,2.792,,,3.580,9.880,-2.132,0
1921,3,1.678,,1.206,-0.181,-0.190,-1.583,,,,2.789,,,3.590,9.860,-2.132,0
1921,4,1.953,,1.267,-0.123,-0.129,-1.528,,,,2.795,,,3.550,9.780,-1.888,0
1921,5,1.892,,1.328,-0.050,-0.053,-1.434,,,,2.761,,,3.590,9.790,-1.888,0
1921,6,1.800,,1.294,-0.080,-0.087,-1.470,,,,2.765,,,3.620,9.810,-2.071,0
1921,7,1.922,,1.303,-0.099,-0.102,-1.507,,,,2.810,,,3.640,9.790,-2.101,0
1921,8,1.831,,1.230,-0.166,-0.172,-1.577,,,,2.807,,,3.580,9.780,-2.162,0
1921,9,1.831,,1.291,-0.102,-0.111,-1.510,,,,2.801,,,3.600,9.830,-2.132,0
1921,10,1.983,,1.315,-0.084,-0.084,-1.483,,,,2.798,,,3.630,9.850,-1.979,0
1921,11,2.074,,1.285,-0.087,-0.090,-1.464,,,,2.749,,,3.640,9.910,-1.888,0
1921,12,1.800,,1.218,-0.138,-0.145,-1.507,,,,2.725,,,3.640,9.910,-2.132,0
1922,1,1.770,,1.117,-0.266,-0.269,-1.653,,,,2.771,,,3.710,10.040,-2.284,0
1922,2,1.892,,1.200,-0.196,-0.199,-1.598,,,,2.798,,,3.570,9.900,-2.345,0
1922,3,1.922,,1.233,-0.151,-0.160,-1.553,,,,2.786,,,3.520,9.870,-2.162,0
1922,4,2.196,,1.297,-0.096,-0.101,-1.501,,,,2.798,,,3.580,9.800,-2.010,0
1922,5,1.800,,1.224,-0.166,-0.166,-1.559,,,,2.783,,,3.560,9.800,-2.101,0
1922,6,1.739,,1.276,-0.120,-0.129,-1.534,,,,2.810,,,3.530,9.710,-1.979,0
1922,7,1.770,,1.279,-0.135,-0.138,-1.559,,,,2.838,,,3.680,9.830,-2.101,0
1922,8,1.739,,1.297,-0.120,-0.126,-1.550,,,,2.847,,,3.650,9.760,-2.162,0
1922,9,1.922,,1.261,-0.138,-0.145,-1.550,,,,2.810,,,3.570,9.860,-2.101,0
1922,10,1.800,,1.288,-0.090,-0.096,-1.480,,,,2.768,,,3.640,9.840,-2.254,0
1922,11,1.922,,1.264,-0.096,-0.099,-1.464,,,,2.728,,,3.660,9.850,-2.040,0
1922,12,1.709,,1.175,-0.163,-0.175,-1.525,,,,2.701,,,3.660,9.890,-2.193,0
1923,1,1.892,,1.267,-0.068,-0.071,-1.409,,,,2.676,,,3.530,9.840,-2.010,0
1923,2,1.983,,1.248,-0.132,-0.138,-1.528,,,,2.777,,,3.540,9.740,-2.132,0
1923,3,1.983,,1.282,-0.148,-0.151,-1.583,,,,2.865,,,3.390,9.750,-2.132,0
1923,4,2.013,,1.300,-0.117,-0.126,-1.550,,,,2.850,,,3.550,9.680,-2.467,0
1923,5,1.922,,1.279,-0.114,-0.120,-1.522,,,,2.801,,,3.620,9.740,-2.223,0
1923,6,1.953,,1.285,-0.102,-0.114,-1.510,,,,2.795,,,3.610,9.730,-2.101,0
1923,7,1.739,,1.245,-0.151,-0.157,-1.556,,,,2.801,,,3.660,9.750,-2.010,0
1923,8,1.678,,1.230,-0.157,-0.163,-1.556,,,,2.786,,,3.700,9.890,-1.918,0
1923,9,1.678,,1.191,-0.184,-0.187,-1.568,,,,2.758,,,3.750,9.880,-2.071,0
1923,10,,,1.242,-0.138,-0.145,-1.531,,,,2.774,,,3.580,9.790,,0
1923,11,,,1.276,-0.090,-0.099,-1.473,,,,2.749,,,3.580,9.790,,0
1923,12,,,1.218,-0.148,-0.160,-1.534,,,,2.752,,,3.560,9.790,-2.223,0
1924,1,1.831,,1.154,-0.224,-0.230,-1.614,,,,2.768,,,3.590,9.720,-2.345,0
1924,2,1.953,,1.242,-0.141,-0.145,-1.534,,,,2.777,,,3.520,9.760,-2.040,0
1924,3,1.739,,1.361,-0.038,-0.041,-1.440,,,,2.801,,,3.440,9.680,-1.979,0
1924,4,1.922,,1.303,-0.099,-0.105,-1.510,,,,2.813,,,3.450,9.670,-2.132,0
1924,5,1.922,,1.297,-0.084,-0.090,-1.480,,,,2.777,,,3.440,9.660,-2.223,0
1924,6,1.922,,1.279,-0.096,-0.102,-1.483,,,,2.761,,,3.570,9.710,-2.162,0
1924,7,2.013,,1.239,-0.132,-0.135,-1.513,,,,2.752,,,3.520,9.700,-2.101,0
1924,8,1.800,,1.276,-0.096,-0.102,-1.480,,,,2.755,,,3.540,9.740,-2.010,0
1924,9,1.800,,1.300,-0.123,-0.126,-1.556,,,,2.856,,,3.520,9.680,-1.979,0
1924,10,1.922,,1.267,-0.123,-0.123,-1.513,,,,2.780,,,3.620,9.790,-2.040,0
1924,11,1.922,,1.239,-0.141,-0.145,-1.531,,,,2.771,,,3.590,9.740,-2.254,0
1924,12,1.861,,1.187,-0.205,-0.205,-1.595,,,,2.783,,,3.540,9.740,-2.437,0
1925,1,1.922,,1.203,-0.157,-0.166,-1.531,,,,2.734,,,3.650,9.800,-2.254,0
1925,2,1.770,,1.197,-0.187,-0.193,-1.580,,,,2.777,,,3.530,9.670,-2.284,0
1925,3,1.526,,1.178,-0.190,-0.196,-1.571,,,,2.749,,,3.500,9.670,-2.132,0
1925,4,1.709,,1.191,-0.157,-0.163,-1.513,,,,2.704,,,3.560,9.670,-1.979,0
1925,5,1.678,,1.224,-0.120,-0.126,-1.473,,,,2.697,,,3.520,9.680,-2.132,0
1925,6,1.953,,1.255,-0.120,-0.126,-1.504,,,,2.758,,,3.580,9.700,-2.132,0
1925,7,1.892,,1.267,-0.117,-0.123,-1.513,,,,2.780,,,3.700,9.770,-2.223,0
1925,8,1.831,,1.233,-0.154,-0.163,-1.559,,,,2.792,,,3.610,9.690,-2.284,0
1925,9,1.831,,1.264,-0.132,-0.129,-1.522,,,,2.786,,,3.620,9.720,-2.071,0
1925,10,1.678,,1.245,-0.132,-0.151,-1.544,,,,2.789,,,3.660,9.780,-2.162,0
1925,11,1.922,,1.206,-0.160,-0.163,-1.534,,,,2.740,,,3.580,9.670,-2.193,0
